Open,Close,Volume,Moving_Avg,Price_Up_Tomorrow
198.88,194.43,204117,200.19,0
292.09,285.49,612474,301.71,0
275.75,267.11,281509,279.9,0
335.97,334.14,339670,331.13,0
121.59,130.81,186905,123.68,1
264.94,262.01,95059,269.36,0
118.46,120.53,748414,119.79,1
258.5,256.55,904496,252.18,0
275.35,277.84,888092,273.86,1
321.26,320.33,178373,333.01,0
101.54,105.45,485042,103.24,1
431.25,421.72,247086,433.93,0
409.19,399.9,122096,416.85,0
268.23,277.78,850415,267.1,1
124.65,133.5,121001,131.06,1
468.5,478.07,186334,467.75,1
287.94,278.19,798922,277.55,0
312.32,308.1,806038,314.8,0
169.23,169.35,452247,171.11,1
467.44,472.31,527090,465.57,1
171.76,170.04,106374,169.96,0
475.48,473.35,372574,479.41,0
436.97,434.73,7407,440.47,0
335.67,341.32,638086,333.16,1
458.74,458.75,508464,468.25,1
189.82,198.85,811001,187.53,1
231.4,221.43,583571,222.12,0
499.33,491.3,644028,502.68,0
290.71,299.21,843602,291.91,1
437.93,428.5,897543,443.8,0
250.89,257.49,64631,253.14,1
206.53,201.87,529172,206.72,0
321.59,317.87,775362,320.78,0
136.97,144.5,961468,154.4,1
426.68,426.73,97324,423.87,1
199.0,204.94,552963,198.6,1
440.73,436.96,287640,441.21,0
254.36,254.59,146627,255.19,1
259.6,262.59,425232,253.77,1
263.31,263.82,390371,264.1,1
431.16,427.75,806571,434.75,0
208.62,212.96,653386,214.61,1
116.79,116.14,160564,116.1,0
205.83,206.12,765955,202.51,1
257.11,247.58,514487,260.88,0
113.58,113.63,104468,106.44,1
301.96,305.78,482156,292.43,1
358.54,358.87,362823,353.77,1
307.75,311.03,954559,308.52,1
434.61,443.91,6779,443.04,1
131.31,122.23,683988,133.24,0
214.47,211.74,947760,213.12,0
141.2,150.26,963474,144.01,1
160.29,161.77,233670,163.87,1
460.38,462.79,442166,466.65,1
314.16,321.19,359085,317.64,1
376.16,376.55,544708,373.94,1
270.52,266.11,196114,274.96,0
483.94,490.39,103729,481.43,1
322.21,331.97,118669,325.95,1
288.36,282.01,331600,279.24,0
390.88,395.21,221763,392.14,1
383.38,391.7,893614,382.32,1
209.83,202.09,158354,198.98,0
368.88,362.38,612294,374.2,0
229.85,234.61,865917,230.2,1
336.86,333.77,616357,340.19,0
415.31,416.09,214039,422.04,1
485.74,490.07,562412,480.97,1
331.14,336.08,235667,329.27,1
351.4,359.09,889018,351.51,1
118.03,119.9,611518,114.12,1
123.02,120.3,733715,130.58,0
485.22,483.92,246555,488.56,0
209.12,203.49,648085,208.01,0
126.35,120.4,103804,129.04,0
387.42,397.02,834372,386.12,1
497.65,487.73,426880,494.37,0
286.01,286.94,625547,281.93,1
106.69,115.66,399991,104.54,1
282.79,284.38,729138,281.4,1
109.55,105.2,77105,104.85,0
177.05,170.91,849529,170.25,0
275.01,272.43,900802,273.54,0
380.75,371.67,7633,393.4,0
345.36,351.87,813041,347.93,1
449.15,450.53,250409,453.15,1
423.77,429.27,558893,426.24,1
217.41,225.1,484950,211.9,1
102.08,109.58,117221,99.75,1
133.05,131.0,834743,128.84,0
270.97,263.78,827717,268.51,0
161.2,168.39,509193,157.46,1
326.58,319.61,179636,328.97,0
294.98,299.16,235241,299.59,1
290.39,283.41,823778,294.41,0
418.85,423.63,987084,417.66,1
118.01,119.58,343370,119.71,1
262.3,269.11,352267,250.48,1
105.58,113.73,122678,111.17,1
218.48,212.68,556583,225.09,0
413.39,421.47,721226,413.34,1
484.02,482.64,475226,495.98,0
328.31,334.86,541024,327.08,1
177.7,169.48,301415,172.85,0
289.08,288.63,218086,289.04,0
171.68,178.82,436337,172.94,1
276.3,278.06,349434,284.56,1
347.13,342.89,797668,355.48,0
476.29,476.85,584793,479.28,1
241.94,237.28,437641,236.43,0
411.11,403.56,331732,415.82,0
480.18,480.42,555272,483.33,1
