Age,Income,Credit_Score,Loan_Amount,Approved
28,47961,588,364221,0
55,50283,375,744479,0
62,104849,805,142371,1
32,150593,316,700541,0
22,112284,473,565022,0
37,176605,806,548020,1
24,167665,626,244279,0
62,14305,349,845992,0
53,111432,492,668347,0
41,158654,661,851410,1
65,114174,486,341868,0
47,56888,777,793446,1
38,102309,374,144439,0
58,12761,489,949773,0
27,182926,346,885761,0
28,12228,480,278412,0
41,163057,702,271668,1
39,12516,759,783844,0
44,172280,536,199240,0
56,100191,622,587674,0
42,131661,509,757255,0
35,39829,769,148949,1
38,90582,614,163114,0
29,114932,542,860312,0
34,16954,615,605661,0
26,53943,432,852654,0
43,148809,358,47449,0
34,190655,628,622643,0
48,21494,507,151740,0
26,25245,708,670311,0
44,194262,522,686690,0
64,103885,787,72432,1
36,151623,686,198339,1
37,165823,735,756595,1
39,143725,368,883829,0
30,20391,334,892234,0
64,84664,576,790994,0
28,154501,417,770966,0
61,184028,773,197590,1
27,165326,425,661087,0
47,19973,370,788859,0
31,118703,634,523555,0
24,78840,420,610641,0
35,82797,782,107191,1
52,187637,724,764430,1
52,158159,618,234297,0
32,29579,411,594293,0
58,50295,412,99373,0
58,106312,678,756515,1
56,114879,549,819234,0
49,38354,727,882367,1
35,65454,537,837986,0
27,67731,357,916470,0
29,176199,604,298857,0
29,124136,813,878319,1
65,146696,573,73355,0
63,76765,681,798140,1
49,15646,538,677045,0
64,160507,387,810606,0
44,22527,407,171138,0
54,47727,768,315678,1
38,138573,513,531459,0
61,57479,526,489242,0
49,157433,629,587465,0
51,146283,548,882956,0
40,146050,608,541288,0
37,72725,629,934428,0
57,95727,699,548802,1
56,178262,345,304156,0
41,187948,775,405402,1
62,44891,645,112246,0
49,119017,539,148231,0
38,184314,598,746015,0
33,158571,686,641614,1
63,141227,780,257307,1
45,59120,810,685194,1
61,50564,583,529001,0
53,128835,396,786906,0
23,119058,656,5576,1
63,15255,795,693240,0
39,174276,391,329096,0
57,187328,326,612394,0
56,183619,382,622028,0
64,142352,482,104169,0
27,46113,369,286387,0
24,38101,418,762213,0
45,28117,409,50988,0
59,75733,337,301184,0
23,126243,563,630731,0
46,14050,760,864924,0
37,127894,748,477306,1
62,87841,796,245597,1
34,123950,576,498054,0
45,151089,415,885860,0
42,150437,806,248643,1
28,94666,382,588508,0
53,172252,341,229928,0
28,121356,728,730428,1
31,12883,376,325555,0
47,128243,478,191392,0
22,130028,710,218722,1
33,74200,780,471121,1
50,113595,508,167600,0
63,28483,613,64724,0
36,15385,615,84330,0
45,12874,309,830481,0
34,91837,416,276277,0
46,76724,798,737908,1
26,191171,777,344577,1
64,17589,837,743903,0
63,97219,587,806399,0
24,30026,588,667302,0
65,29334,637,170293,0
27,80142,843,619205,1
26,120999,601,773677,0
30,88506,512,403599,0
50,187560,389,86864,0
58,24662,345,347216,0
52,181959,644,792433,0
28,194110,651,450546,1
40,52806,843,966485,1
33,23674,429,635526,0
28,42346,469,257777,0
55,81925,661,780579,1
59,167647,524,229568,0
56,125654,606,643909,0
36,82697,534,926596,0
26,183215,415,634358,0
38,70324,593,650461,0
50,47408,773,133392,1
60,140741,538,325349,0
64,119356,524,482113,0
54,134214,625,935177,0
25,153969,598,349161,0
42,124943,625,601962,0
49,97546,437,52176,0
35,110558,778,810029,1
62,127815,564,767211,0
62,173871,406,28547,0
38,168225,746,957910,1
41,70213,658,647865,1
43,13356,601,13025,0
29,180150,778,974038,1
45,124212,752,207801,1
39,50125,408,187834,0
36,26651,696,788264,0
42,112689,432,695370,0
57,41084,652,204079,1
22,105176,831,245957,1
41,15577,672,178867,0
45,41561,300,100036,0
44,139305,762,268093,1
43,192838,378,379142,0
55,47493,626,426130,0
25,13449,509,864989,0
40,122443,545,251760,0
57,162753,670,568563,1
41,39301,777,239575,1
58,79146,564,276420,0
54,116817,648,980410,0
47,50109,737,687435,1
54,168859,353,639253,0
52,17340,370,987514,0
63,188739,522,84619,0
39,148992,741,782581,1
24,89513,748,115644,1
30,40306,673,450818,1
29,172807,335,360412,0
52,90027,735,82865,1
41,171730,414,83645,0
29,28152,610,214001,0
60,66934,528,830527,0
56,151853,428,676260,0
63,66476,330,282873,0
25,13226,705,271878,0
57,124783,630,298327,0
61,100172,406,795596,0
28,160088,405,654673,0
33,29564,748,640880,0
44,148058,633,18206,0
25,196339,386,438772,0
51,134614,709,750808,1
47,24915,810,369691,0
40,89549,648,636743,0
35,24552,548,981043,0
21,59028,444,763398,0
21,172500,719,350692,1
34,150678,391,57135,0
25,101051,750,42392,1
56,72442,320,446026,0
36,30078,732,380254,1
29,192700,783,571444,1
50,58399,781,594574,1
29,117950,775,677299,1
35,145071,769,365064,1
62,22738,318,422013,0
51,180038,618,648180,0
64,44527,342,830501,0
37,197790,775,852924,1
63,194605,463,689042,0
31,87600,486,410521,0
52,22821,721,293942,0
28,171631,323,413693,0
50,81030,507,239243,0
44,23044,390,17546,0
26,196735,757,774660,1
22,152154,489,477517,0
40,43869,421,326219,0
48,92712,512,938827,0
63,25170,536,310742,0
44,42460,716,782437,1
56,24359,448,369456,0
53,51100,650,85703,0
59,75555,431,86754,0
27,97392,401,209967,0
38,182610,527,474763,0
50,52894,597,53217,0
56,20113,666,28294,0
27,166910,480,380776,0
26,73735,793,346656,1
37,21024,807,105789,0
23,82902,841,295860,1
56,188317,326,130214,0
35,56093,560,389442,0
40,153966,614,435096,0
46,65652,347,843154,0
54,111365,799,362140,1
45,175137,329,295939,0
58,139626,473,420862,0
43,65185,384,892317,0
28,136426,416,501786,0
45,15193,848,85893,0
29,150305,426,606438,0
54,37442,301,489296,0
25,45510,599,168816,0
21,40034,571,473221,0
41,119610,403,226160,0
60,108424,511,677513,0
40,15967,369,975729,0
58,146715,354,841711,0
61,91933,789,811308,1
57,53702,609,95200,0
22,18236,471,447494,0
26,153281,838,127617,1
22,163072,794,595958,1
24,56785,528,541516,0
63,129953,780,698354,1
60,31219,775,961929,1
43,142519,804,378435,1
23,33100,769,831257,1
28,57882,381,19662,0
32,16235,692,720538,0
37,24423,654,581654,0
29,172309,550,159581,0
23,108979,469,274560,0
41,181846,402,357826,0
40,162647,751,67505,1
49,106898,404,739370,0
28,11546,367,82538,0
28,190659,793,730404,1
34,32551,741,211832,1
26,27275,384,243255,0
47,198458,755,532104,1
60,84717,450,325886,0
53,69619,850,438482,1
29,24407,794,34595,0
61,71103,663,617718,1
33,77426,634,699224,0
57,157066,525,824737,0
49,152378,686,744215,1
57,157750,303,85702,0
33,176013,350,344586,0
55,12747,578,254095,0
26,126611,769,943282,1
59,35247,501,198107,0
58,102772,767,215364,1
57,68339,721,701465,1
44,160740,533,696731,0
22,175253,649,453027,0
50,88957,482,612244,0
60,52121,616,237278,0
54,141802,491,500731,0
40,119537,850,72718,1
29,55797,378,87541,0
43,38850,679,502337,1
36,40351,442,140863,0
46,105285,334,456934,0
62,179526,546,945116,0
44,44849,542,149504,0
48,112306,665,503343,1
50,152698,765,498357,1
65,93927,302,175254,0
37,170763,822,24663,1
53,70588,637,818694,0
27,85244,819,880055,1
43,91242,504,763762,0
28,94862,495,392841,0
32,144687,579,415460,0
60,102167,527,598780,0
58,132398,471,127381,0
61,84958,600,434483,0
38,36828,300,704421,0
29,77157,739,790334,1
30,69072,673,293772,1
47,44897,685,676250,1
61,165613,817,494082,1
37,80862,771,126016,1
54,105289,778,832923,1
56,125180,610,766529,0
26,28745,686,766387,0
57,127346,616,56717,0
56,116931,420,364583,0
62,172741,846,86306,1
51,156527,725,80532,1
23,115153,656,809193,1
44,119530,429,405164,0
38,123601,826,109722,1
60,134983,514,5584,0
35,34180,407,772505,0
23,125034,821,62047,1
61,90320,317,709576,0
27,123452,480,151845,0
50,94689,495,509601,0
48,41071,522,799542,0
32,90257,305,120017,0
33,89091,358,281159,0
27,163981,612,183132,0
44,128068,328,209484,0
21,142343,391,859914,0
39,119381,427,469477,0
33,144420,710,103452,1
37,55176,846,74906,1
29,103801,802,922432,1
56,52148,731,911638,1
57,199043,420,99318,0
38,192423,753,582784,1
53,85302,841,262919,1
52,144929,630,605875,0
36,141663,710,913227,1
39,151762,464,598965,0
34,107212,520,813719,0
25,173842,736,951618,1
32,168637,447,888537,0
33,127691,635,996093,0
57,128530,473,636121,0
21,128849,536,301471,0
25,20545,500,145929,0
49,146934,323,361476,0
52,125444,562,479309,0
49,14903,509,482870,0
31,142790,446,802970,0
56,194186,827,792264,1
33,89858,701,106030,1
61,168744,317,902519,0
43,63806,710,273640,1
51,79988,744,716338,1
35,65803,847,209319,1
53,148021,391,690068,0
28,116933,714,375726,1
23,148810,511,233916,0
57,31016,689,550153,1
54,88225,604,490748,0
55,77431,440,712748,0
51,81952,772,834315,1
35,177898,829,946494,1
22,26807,522,494391,0
42,170720,754,216685,1
35,24691,808,517247,0
46,35686,800,31007,1
23,141407,773,389404,1
54,38092,648,976071,0
30,72601,809,934713,1
45,48287,496,927689,0
29,26265,547,754858,0
59,148580,388,254010,0
45,81133,743,37778,1
50,95886,753,381520,1
63,180124,398,523484,0
37,153929,330,409900,0
38,36567,379,458878,0
55,75590,485,482462,0
55,81425,382,956127,0
36,90772,528,59357,0
44,55234,539,806623,0
40,55149,387,326333,0
29,29172,418,707705,0
38,59137,490,297773,0
59,32118,666,147381,1
33,147104,577,343381,0
23,25651,326,777783,0
23,149801,544,826931,0
63,92294,542,49620,0
41,131172,363,477155,0
52,80580,654,495897,1
61,108200,374,309939,0
62,107545,338,439798,0
61,70862,437,332250,0
21,50636,426,960914,0
49,122559,460,999608,0
54,130539,530,494208,0
33,191729,748,380779,1
56,69341,706,414202,1
39,186404,781,499148,1
37,169138,690,34889,1
60,159516,778,5615,1
23,81547,425,468013,0
64,119530,812,379825,1
44,166441,530,141834,0
21,134549,751,330421,1
60,129968,375,899509,0
59,61607,599,227080,0
49,77182,366,497072,0
23,94551,557,218571,0
56,192170,329,165655,0
50,124454,716,861505,1
47,173828,422,962880,0
28,129299,414,455171,0
37,96882,595,588542,0
42,67444,716,606522,1
36,178029,370,453511,0
21,42287,413,331215,0
23,36450,642,776743,0
22,158773,329,638448,0
42,155382,731,842886,1
31,196747,392,546358,0
60,177981,459,552025,0
29,110515,517,587377,0
27,61374,331,240461,0
45,50138,495,91553,0
37,48503,426,997420,0
51,26582,800,283782,0
65,55889,416,962694,0
55,27875,338,537505,0
22,55792,432,420433,0
56,54201,432,608189,0
59,129154,540,629615,0
43,15231,716,348649,0
56,16121,458,582111,0
48,38597,603,126402,0
49,74176,571,392138,0
62,162495,832,298906,1
51,143037,691,596953,1
25,85293,624,935284,0
34,43354,824,969220,1
29,178801,410,32361,0
51,58943,306,241450,0
49,99896,754,445215,1
59,67743,694,927473,1
61,11909,436,151886,0
21,172257,579,438147,0
25,63153,775,92509,1
34,159187,835,669597,1
61,146514,478,286837,0
34,59603,644,609940,0
60,53049,779,198502,1
35,27394,379,16845,0
35,152396,793,158908,1
22,150549,463,740107,0
46,152270,849,404158,1
56,63741,746,661727,1
64,161771,551,751064,0
48,75871,835,849344,1
26,121832,523,932867,0
36,20063,317,322635,0
62,69803,813,986628,1
32,48477,729,472459,1
51,24716,730,802174,0
35,171017,795,928694,1
64,136861,535,960478,0
58,192554,358,992421,0
48,52550,740,451666,1
30,158115,408,671402,0
60,90574,818,159756,1
25,135471,806,729200,1
22,27975,784,126401,0
30,180776,746,693352,1
43,47209,695,751464,1
54,192959,559,136485,0
41,111444,645,72373,0
27,40174,612,375446,0
44,51674,339,830105,0
52,164837,566,367432,0
61,131869,332,143437,0
55,137905,548,842781,0
25,64618,410,514547,0
37,178105,681,98670,1
31,121152,771,59551,1
64,86541,652,277639,1
38,140937,349,470043,0
60,110978,585,549144,0
30,24738,408,622726,0
41,55427,475,184730,0
23,116498,321,16033,0
33,182368,483,567293,0
28,195619,492,272243,0
39,190976,618,959480,0
26,170301,441,719526,0
50,84498,579,599541,0
50,117091,572,424184,0
34,37401,632,482008,0
26,107928,480,827422,0
40,14284,740,434080,0
34,21454,847,210808,0
39,114678,440,774778,0
38,76130,547,961040,0
46,57084,805,159484,1
58,151340,756,578166,1
23,16912,382,720034,0
35,170441,389,546905,0
59,126880,404,437602,0
43,172855,630,867483,0
22,29337,478,61985,0
44,19707,468,959523,0
22,42462,713,329137,1
25,29471,590,396276,0
36,150068,742,503354,1
42,121336,571,504017,0
43,127774,790,274736,1
56,84809,322,292888,0
22,106958,547,756299,0
40,142743,744,134319,1
52,151467,792,150993,1
33,168522,609,596156,0
49,113789,674,686282,1
52,42794,788,441339,1
39,83970,828,7378,1
58,85510,347,916331,0
25,14022,341,114491,0
36,60480,763,381956,1
52,97570,358,936152,0
29,159091,355,77465,0
48,101392,603,199445,0
39,42181,366,139992,0
54,103636,312,574822,0
40,106927,518,688889,0
59,37153,321,431303,0
46,151976,660,731767,1
49,75998,746,850143,1
23,28877,751,517115,0
45,134186,425,877839,0
64,75612,829,101614,1
30,44324,585,594915,0
34,194279,449,821728,0
57,61674,556,647177,0
43,37462,394,365577,0
52,140987,650,426358,0
43,111005,685,995679,1
40,171590,623,790805,0
57,16331,394,381998,0
40,172480,438,665813,0
39,153352,387,945562,0
53,185114,301,76863,0
44,60839,533,59600,0
64,105889,814,927205,1
64,54695,719,293051,1
38,72495,571,388469,0
64,31004,529,917022,0
51,18247,594,931078,0
21,142620,849,319874,1
47,78840,634,140784,0
65,135697,371,295734,0
46,51045,841,20231,1
30,147563,342,843116,0
29,83246,554,248870,0
56,119494,461,633600,0
24,109556,605,205925,0
45,143595,821,752993,1
36,145472,535,824214,0
50,91552,817,513331,1
39,105443,530,823610,0
28,40601,331,331300,0
23,130898,722,152873,1
57,150387,527,753158,0
52,121469,844,822648,1
59,10557,849,35916,0
65,58087,838,220633,1
64,19968,313,852494,0
56,177495,386,821482,0
24,76152,744,755241,1
36,143826,829,453231,1
59,12733,385,911890,0
50,181555,813,244195,1
37,107359,373,341687,0
42,95362,794,165928,1
64,106265,612,91496,0
52,58457,848,776525,1
36,181969,736,141562,1
64,192002,725,394775,1
45,17362,789,568405,0
42,180015,581,360497,0
50,172348,655,817285,1
58,72175,521,834696,0
34,83021,517,413944,0
31,190821,647,221754,0
35,58347,301,232102,0
27,59046,744,268698,1
42,21752,461,983295,0
53,127343,770,172370,1
50,138891,401,380905,0
23,193930,401,427465,0
23,111158,839,432941,1
37,187672,324,650194,0
46,10378,654,967928,0
61,24321,640,654023,0
25,133623,606,126458,0
27,123951,452,459864,0
50,119525,625,552970,0
58,26377,735,665346,0
56,145712,699,769429,1
41,197801,389,751464,0
45,140266,745,82149,1
42,101537,379,928407,0
55,33706,688,469228,1
29,192426,392,147894,0
36,173742,826,147679,1
26,39603,370,637353,0
54,86854,486,293540,0
48,150879,552,117380,0
40,28794,649,123776,0
34,162562,654,726477,1
31,108520,453,259191,0
29,128633,829,715145,1
25,183000,373,528736,0
34,39798,539,400095,0
31,136630,782,552582,1
50,72122,779,299757,1
40,157999,813,334776,1
41,193214,664,258262,1
21,187701,666,859035,1
25,136545,432,10071,0
27,32301,390,402522,0
37,62144,786,344344,1
60,131080,504,559815,0
41,197673,389,991597,0
29,177473,324,590073,0
36,197355,512,982140,0
33,121521,667,663464,1
46,162070,447,226431,0
51,43653,324,476923,0
36,119005,487,644383,0
35,63250,504,190553,0
32,12835,739,18654,0
51,139582,657,83923,1
39,96837,447,578076,0
49,82575,700,389565,1
26,181129,410,147380,0
47,43707,461,516895,0
43,90403,614,157506,0
56,37066,532,929262,0
39,65508,385,894146,0
49,189459,727,258238,1
27,79013,734,915416,1
41,124667,506,610435,0
40,23039,376,455803,0
30,34775,305,514199,0
27,95315,659,295752,1
23,104921,567,653260,0
21,109279,558,76658,0
61,41217,514,536494,0
63,33789,561,649913,0
60,33062,324,531483,0
44,78286,669,531932,1
26,140914,439,673926,0
27,155594,707,650092,1
24,60819,714,85192,1
56,113774,398,98646,0
46,130475,386,22444,0
60,54203,637,403235,0
47,83773,408,486741,0
30,23630,818,554803,0
31,101354,470,387365,0
30,50436,812,907391,1
34,43521,428,432320,0
37,26249,389,19706,0
24,40189,405,396382,0
54,160213,773,954464,1
38,148691,583,371950,0
37,79062,777,479964,1
36,100407,460,433674,0
32,193644,368,302068,0
22,168828,616,266768,0
43,139226,361,872161,0
51,66444,535,766527,0
55,33848,760,379355,1
49,77694,344,881100,0
49,39507,759,409733,1
33,24429,651,981902,0
53,106263,361,758377,0
55,116930,583,192041,0
63,120405,595,475234,0
47,19180,551,395837,0
34,81705,507,915941,0
37,148900,301,866764,0
36,181960,305,736746,0
60,41411,426,819240,0
50,63656,400,10124,0
62,74934,520,775061,0
51,98034,346,885292,0
58,139105,639,260336,0
47,139831,515,472913,0
31,180484,502,147240,0
48,67202,605,62281,0
42,199037,326,383417,0
27,138124,826,842344,1
45,161873,650,398865,0
55,140686,501,925158,0
63,49337,332,72419,0
59,148300,653,410720,1
62,96562,513,238282,0
28,179992,453,419484,0
49,129069,785,475352,1
65,54619,620,14356,0
30,30795,798,926060,1
43,54627,627,646382,0
54,100551,606,363488,0
36,26984,314,271286,0
58,46973,378,929591,0
52,179112,654,776787,1
40,151030,684,152302,1
31,161798,390,355216,0
36,179499,490,145209,0
29,127840,454,780402,0
24,196748,406,210996,0
59,60124,560,220626,0
45,114428,472,133973,0
28,195829,553,968661,0
22,13184,473,680239,0
29,34372,381,174386,0
54,134229,513,908193,0
38,53528,322,414250,0
58,85470,417,874622,0
65,161026,519,398158,0
64,71371,784,874684,1
59,198849,602,977549,0
26,106508,544,787695,0
35,65287,735,424472,1
51,111848,561,938422,0
37,124023,342,324730,0
34,48628,667,232504,1
25,104160,385,452241,0
44,29148,432,173110,0
55,57274,552,322193,0
23,193719,522,342360,0
21,196656,693,526517,1
61,157671,484,847779,0
40,77048,834,589587,1
27,61513,794,146987,1
30,105482,753,691379,1
36,51239,771,968097,1
64,48817,441,296823,0
42,125753,683,476841,1
50,70172,402,929977,0
59,144818,695,184999,1
35,39929,748,450085,1
63,176054,849,802371,1
22,150836,374,963147,0
55,137027,537,51951,0
47,75716,607,548025,0
59,28093,337,161903,0
36,191915,542,612678,0
63,61267,597,805147,0
61,151015,760,61535,1
30,180746,348,270591,0
64,141804,303,372237,0
34,62051,711,127539,1
52,32127,468,250399,0
37,95849,332,899174,0
31,178438,603,276033,0
56,94183,478,422381,0
58,181922,797,968120,1
38,157612,550,109240,0
43,88051,728,748523,1
25,171336,325,228662,0
31,167556,819,733563,1
52,195985,368,637011,0
54,39182,329,755897,0
44,138919,506,340553,0
54,58194,507,116030,0
41,101759,334,18790,0
59,43187,507,237239,0
22,118372,618,369593,0
26,105177,365,163739,0
37,14657,745,740572,0
36,42083,362,664171,0
46,169740,597,21277,0
33,170873,579,94017,0
37,28381,515,146923,0
31,183842,519,277073,0
38,81320,379,43222,0
50,116858,694,69767,1
44,163108,763,720256,1
55,50579,801,560904,1
27,164161,715,677407,1
57,110268,342,701418,0
26,151112,366,30465,0
37,126515,337,371379,0
21,43231,733,708608,1
39,113602,321,366554,0
34,138797,819,267621,1
35,10305,643,946026,0
42,155648,592,393299,0
29,54741,300,473262,0
40,81699,672,661536,1
45,51971,641,373734,0
26,39655,708,180272,1
47,43470,408,712657,0
63,198892,369,189511,0
37,53460,455,80404,0
21,70867,737,865019,1
42,52045,343,715386,0
53,179374,525,925007,0
26,16573,764,787858,0
24,53565,492,766063,0
54,140469,774,817674,1
49,182835,598,79991,0
34,52230,802,494925,1
53,118795,545,231221,0
54,74720,598,393244,0
65,28489,722,583176,0
26,135346,445,114646,0
49,92816,561,47055,0
59,14135,314,264356,0
53,59639,648,182526,0
47,58524,377,894746,0
53,193735,824,375680,1
51,30924,414,810047,0
58,125889,750,645109,1
30,45341,577,250239,0
52,111270,624,307044,0
65,151734,556,971812,0
28,53741,466,315202,0
65,127520,487,735092,0
39,35456,406,356000,0
42,139631,330,619988,0
47,176426,450,993184,0
44,186318,746,578919,1
56,197487,732,916823,1
47,82540,521,674823,0
56,154565,364,56189,0
34,141644,483,141757,0
47,19788,848,618014,0
57,42467,407,749918,0
47,113697,626,162797,0
25,85260,513,538592,0
64,192850,497,38329,0
39,136077,492,512735,0
23,189239,563,147897,0
38,174452,808,642347,1
31,195956,329,752742,0
21,143950,678,998972,1
55,179116,604,17995,0
30,60533,742,729119,1
32,59848,601,43717,0
42,195434,727,709936,1
27,30353,492,466258,0
32,149702,741,978891,1
38,85934,322,918448,0
24,127403,710,168755,1
27,44558,840,655204,1
58,38538,368,293812,0
32,137273,596,65770,0
54,113386,597,689661,0
39,89366,322,955586,0
65,160690,754,895622,1
53,180080,850,996389,1
44,176901,338,776091,0
21,25248,630,170566,0
28,154305,382,973044,0
65,160928,364,652899,0
37,137926,543,689641,0
41,106555,573,299275,0
43,62491,517,824425,0
38,46642,637,227944,0
52,31924,771,82834,1
65,105899,394,106582,0
63,54531,517,523765,0
50,164485,532,862667,0
47,91729,421,771963,0
54,19157,635,779903,0
26,35495,716,501970,1
50,134266,506,959921,0
45,169822,638,349128,0
31,89373,307,71276,0
23,145739,845,227933,1
56,188389,784,309797,1
48,118967,658,740437,1
58,97332,355,268962,0
63,42614,697,970882,1
62,184763,619,647520,0
49,25836,632,592640,0
60,179388,820,818482,1
25,165891,413,52376,0
64,178218,389,50824,0
63,11516,809,422530,0
23,75466,330,506748,0
39,104312,725,980581,1
36,28538,502,995249,0
38,89893,555,803674,0
52,15561,597,868939,0
47,177697,614,424100,0
55,61669,452,34174,0
63,89100,836,467675,1
57,11904,842,22162,0
53,150573,467,651357,0
31,80050,331,371178,0
48,183936,755,192389,1
40,129791,724,210202,1
64,120916,646,52767,0
46,56667,489,672104,0
23,196976,423,450725,0
44,57290,473,651308,0
45,170308,741,433850,1
59,100624,553,449072,0
28,120147,402,136929,0
26,164835,353,126567,0
49,143962,747,116535,1
61,180938,497,867773,0
52,73118,379,994425,0
26,182985,748,369338,1
64,96607,507,929620,0
58,106880,446,891611,0
57,152156,723,831413,1
48,84814,314,68379,0
47,77211,302,750369,0
53,41345,642,754561,0
33,151084,479,50897,0
59,98761,438,109708,0
49,60016,848,258836,1
47,62138,429,943587,0
49,148655,528,895455,0
64,114520,778,94454,1
25,38528,453,801077,0
49,179759,546,650284,0
29,57285,833,502418,1
30,162237,650,80190,0
31,14790,669,59072,0
23,164818,392,192356,0
26,166509,817,545024,1
58,81718,378,63348,0
45,192068,765,931111,1
63,55400,455,253961,0
57,84759,618,298432,0
23,14813,555,755957,0
24,28824,608,565911,0
64,136131,330,763916,0
61,20811,719,633126,0
53,169168,683,34259,1
44,188815,344,688841,0
24,61630,455,677503,0
24,183394,768,135059,1
42,42134,364,830299,0
33,71735,396,499098,0
27,192009,808,390517,1
29,154477,334,12178,0
63,153623,648,948972,0
60,108216,716,677201,1
50,52624,685,517908,1
62,171472,337,808077,0
39,16572,743,20718,0
65,46059,536,370051,0
49,199515,670,591758,1
50,56358,447,239120,0
35,12241,727,837208,0
26,27769,637,701388,0
31,156375,420,322483,0
35,23437,613,839177,0
24,106768,758,131248,1
35,121277,610,7584,0
50,42683,548,100345,0
34,114009,806,272961,1
41,170752,483,487250,0
57,38753,418,307496,0
27,146959,454,449552,0
64,172210,773,289720,1
52,147114,721,621250,1
46,177520,352,84856,0
27,62435,809,677432,1
31,159913,537,897498,0
46,14197,825,34015,0
25,46635,581,295323,0
35,103244,565,743850,0
56,191149,538,972506,0
40,108023,431,613507,0
22,92948,451,517278,0
38,35451,719,118259,1
31,126833,725,808066,1
34,121104,692,975975,1
26,130756,600,804708,0
27,117244,576,479457,0
44,124158,735,930675,1
35,72974,505,18278,0
34,168419,306,348700,0
28,18485,743,414692,0
29,23463,531,171367,0
44,109214,773,525124,1
41,136129,331,341341,0
37,37328,512,290751,0
58,62114,740,359277,1
57,185901,455,718455,0
55,182758,824,721610,1
22,132264,437,521780,0
46,32659,426,808841,0
45,137722,661,407389,1
26,97826,492,571936,0
36,190968,516,848972,0
30,50054,372,501536,0
22,20705,696,437945,0
49,104047,745,343513,1
22,68285,388,296508,0
54,196025,817,318806,1
42,89610,559,494199,0
21,88611,341,128115,0
45,156560,780,505421,1
63,11058,453,17510,0
50,11108,692,87233,0
64,68918,763,148593,1
40,135754,301,366039,0
28,67612,518,274374,0
49,141444,310,400047,0
55,136217,731,228888,1
29,36016,638,424637,0
62,100330,483,394004,0
31,56032,742,17364,1
22,96438,722,522090,1
39,28253,564,671488,0
24,33034,437,426060,0
48,49918,415,793923,0
34,94473,785,401195,1
56,95588,395,950869,0
60,141639,414,430936,0
23,94571,827,339719,1
59,64000,414,715290,0
38,183697,706,511459,1
33,15181,715,568963,0
38,28538,503,35345,0
51,186755,741,988377,1
57,99803,632,869871,0
37,40566,731,752168,1
52,42469,767,585789,1
23,179148,845,568645,1
65,139800,718,927518,1
37,124124,360,334923,0
27,147729,720,534479,1
61,130337,457,424897,0
41,181301,622,668266,0
30,109214,320,911988,0
21,181851,590,277883,0
43,37879,342,979290,0
35,65683,471,243102,0
22,69591,419,619909,0
43,181602,419,981110,0
28,12041,560,617354,0
26,80996,766,138484,1
45,138935,724,386345,1
22,183093,847,92242,1
63,70254,406,858283,0
64,97879,302,813856,0
45,189334,320,401101,0
