StudyHours,SleepHours,Attendance(%),Age,ExamScore
3.99,8.0,85,24,67.51
2.72,6.56,58,17,55.65
4.3,6.9,69,16,54.29
6.05,6.74,86,24,78.08
2.53,7.77,91,16,61.66
2.53,7.43,93,16,66.26
6.16,9.86,98,15,91.14
4.53,6.42,56,24,53.15
2.06,9.69,69,22,59.5
4.09,4.28,52,24,54.31
2.07,7.73,53,21,55.47
2.07,4.62,71,22,41.74
3.48,5.46,77,23,53.93
0.0,5.54,65,21,39.51
0.0,5.42,84,19,36.35
1.88,6.09,74,20,52.84
0.97,10.0,52,23,47.4
3.63,5.68,99,24,65.23
1.18,4.58,70,18,41.72
0.18,7.74,80,22,41.17
5.93,7.36,81,16,72.71
2.55,10.0,58,18,58.02
3.14,6.94,50,21,47.74
0.15,4.0,57,24,27.33
1.91,6.36,55,22,56.39
3.22,6.33,90,16,54.45
0.7,5.15,55,17,32.0
3.75,6.16,73,20,54.13
1.8,6.78,85,24,56.88
2.42,6.91,65,17,45.85
1.8,4.93,78,21,56.01
6.7,7.91,61,23,67.9
2.97,9.45,77,24,64.62
0.88,7.42,63,19,46.99
4.65,8.66,57,23,64.48
0.56,7.27,68,24,34.14
3.42,5.43,71,17,54.61
0.0,7.41,80,17,46.81
0.34,6.25,57,18,44.52
3.39,5.34,82,21,55.02
4.48,6.88,73,16,65.6
3.34,8.23,69,17,58.5
2.77,6.49,77,15,56.86
2.4,9.91,58,23,54.73
0.04,8.43,63,20,43.19
1.56,6.18,68,16,33.44
2.08,6.13,89,17,62.86
5.11,10.0,68,23,67.69
3.69,6.5,56,19,48.2
0.0,7.55,81,23,40.91
3.65,7.63,64,23,60.68
2.23,4.41,53,21,44.64
1.65,4.43,87,23,53.97
4.22,8.28,60,18,65.47
5.06,5.43,86,20,69.61
4.86,7.02,51,24,50.63
1.32,4.73,57,20,39.16
2.38,6.51,99,17,55.24
3.66,7.32,81,21,62.43
4.95,4.0,66,15,51.9
2.04,7.08,57,22,45.72
2.63,7.16,78,15,54.57
0.79,6.3,70,21,44.13
0.61,5.35,59,20,32.0
4.63,6.44,94,22,68.95
5.71,6.44,52,17,57.87
2.86,9.89,62,19,63.6
5.01,6.82,58,16,64.57
3.72,6.3,50,19,55.4
1.71,6.82,61,21,46.8
3.72,7.64,66,23,55.43
6.08,7.58,89,24,77.8
2.93,7.67,95,22,66.66
6.13,7.9,56,23,67.69
0.0,4.81,82,16,42.96
4.64,7.77,52,16,59.95
3.17,7.28,74,17,58.23
2.4,6.07,81,23,55.59
3.18,7.16,100,16,81.21
0.0,6.84,59,23,40.37
2.56,6.97,94,17,60.93
3.71,7.26,92,20,73.32
5.96,4.48,80,23,68.25
1.96,7.39,82,18,56.21
1.38,7.98,83,17,63.92
2.0,7.37,61,17,50.86
4.83,5.91,85,24,72.46
3.66,5.71,61,16,48.9
