temperature_C,ice_cream_sales_$
24.36,529.41
38.77,901.55
33.3,660.99
29.97,489.45
18.9,449.28
18.9,317.12
16.45,352.07
36.65,759.98
30.03,606.87
32.7,547.36
15.51,292.13
39.25,706.48
35.81,738.91
20.31,361.91
19.55,284.71
19.59,427.28
22.61,388.75
28.12,569.11
25.8,479.13
22.28,489.01
30.3,647.24
18.49,381.64
22.3,440.7
24.16,461.14
26.4,467.79
34.63,663.18
19.99,423.76
27.86,654.85
29.81,624.75
16.16,358.98
30.19,598.38
19.26,411.58
16.63,225.13
38.72,738.35
39.14,818.0
35.21,740.28
22.62,425.14
17.44,283.42
32.11,638.57
26.0,498.35
18.05,408.05
27.38,582.75
15.86,394.65
37.73,810.18
21.47,415.68
31.56,648.69
22.79,557.58
28.0,540.02
28.67,582.1
19.62,392.21
39.24,785.62
34.38,643.86
38.49,835.17
37.37,701.55
29.95,691.85
38.05,842.87
17.21,356.79
19.9,398.27
16.13,283.76
23.13,466.21
24.72,548.34
21.78,401.46
35.72,787.76
23.92,529.63
22.02,435.16
28.57,611.15
18.52,324.83
35.05,695.95
16.86,448.12
39.67,853.15
34.31,711.04
19.97,402.81
15.14,299.05
35.39,706.29
32.67,614.74
33.23,697.11
34.28,737.86
16.85,324.42
23.96,502.6
17.9,321.55
36.58,728.21
30.58,569.34
23.27,454.1
16.59,337.75
22.77,485.71
23.13,431.96
33.24,688.61
30.94,570.96
37.18,759.46
26.81,646.66
17.99,341.23
32.83,589.93
34.02,725.23
29.03,594.94
34.27,708.4
27.34,610.49
28.07,525.83
25.69,479.71
15.64,339.94
17.7,405.93
15.79,327.58
30.91,614.63
22.86,473.32
27.71,590.96
37.69,681.38
21.23,375.14
25.26,500.75
33.89,712.28
20.72,522.98
16.92,332.82
22.24,457.14
19.03,347.36
38.24,797.71
35.2,649.16
30.84,616.13
36.79,688.23
35.09,596.22
19.66,527.97
37.31,786.37
28.48,610.11
35.19,749.17
37.4,819.3
22.95,467.12
17.75,398.44
20.7,388.94
25.68,504.94
35.45,632.26
36.52,740.46
15.17,276.98
27.77,548.72
25.44,550.16
20.55,426.16
18.0,411.44
23.44,439.27
38.57,790.55
23.08,429.63
27.97,550.59
32.58,636.18
24.09,431.13
39.29,765.25
39.06,810.1
21.29,380.1
27.43,515.43
22.52,512.62
22.12,513.31
15.92,360.05
30.24,690.18
27.57,619.57
16.29,321.32
21.97,538.78
37.71,832.11
20.99,416.16
18.62,385.01
27.24,511.63
39.64,788.04
21.05,343.31
31.8,606.74
34.04,720.5
20.94,367.6
33.21,648.45
24.19,511.82
30.81,601.67
30.84,674.34
28.39,627.74
17.26,314.25
35.88,695.8
23.02,462.64
19.66,360.01
16.02,402.07
29.77,574.83
31.94,684.33
15.41,233.43
27.8,517.4
20.66,358.98
31.13,560.38
19.36,361.37
32.27,663.84
24.67,570.04
38.42,758.25
18.44,372.85
23.53,487.5
17.84,320.31
38.12,761.16
36.93,843.05
21.45,448.38
31.5,734.36
35.43,709.81
28.88,546.59
28.24,617.0
21.05,484.12
17.33,321.73
37.43,766.83
37.51,747.03
30.83,547.51
23.48,403.37
23.73,464.34
33.15,720.48
37.43,791.07
37.18,697.73
34.5,633.81
31.05,577.33
17.1,294.19
19.04,336.73
37.46,648.0
30.16,481.08
15.23,176.61
17.54,273.21
31.59,690.07
15.13,482.81
19.02,481.4
28.72,586.81
32.3,607.16
31.3,604.42
20.61,419.16
32.8,759.44
20.93,369.04
23.13,462.85
33.66,678.11
31.24,620.4
36.23,624.17
31.44,615.02
29.21,516.54
17.34,461.24
24.19,512.41
21.63,488.42
21.1,377.75
39.33,764.05
24.83,598.65
37.3,797.23
30.78,636.65
34.87,764.59
27.57,649.38
29.42,664.33
27.31,598.73
19.88,454.91
33.06,644.75
22.02,450.17
15.61,346.19
31.14,638.65
19.43,413.71
38.51,763.17
38.85,640.43
37.87,791.26
24.25,490.48
15.39,314.08
38.21,874.21
25.7,531.93
39.17,743.08
39.09,816.21
36.33,730.78
22.36,503.03
24.63,462.71
36.28,684.82
22.92,431.46
19.24,298.29
28.92,556.52
38.4,847.56
32.4,611.68
29.25,517.19
17.43,322.19
30.38,618.52
39.75,757.73
18.5,373.63
27.96,571.73
36.93,738.77
33.52,665.92
32.43,736.69
32.56,660.07
23.99,440.2
22.34,484.53
35.23,701.68
35.25,708.63
36.68,784.21
37.83,823.69
27.78,498.71
27.54,637.36
34.96,695.91
31.25,622.09
32.55,600.49
34.89,735.23
37.25,673.92
23.45,495.92
24.39,570.36
17.35,331.26
29.46,643.23
15.9,322.07
26.64,463.19
28.57,577.31
22.16,434.0
29.77,640.24
15.76,297.08
15.93,343.62
35.57,658.52
24.0,501.57
18.18,364.72
28.06,554.75
34.25,686.55
20.4,393.29
30.57,618.52
17.13,332.82
16.29,277.17
28.28,500.87
28.52,545.6
30.94,602.86
33.15,512.81
39.4,788.89
27.91,668.3
23.07,495.98
34.88,689.02
21.77,394.65
25.97,434.58
16.96,383.66
15.63,333.95
39.07,719.58
35.9,766.15
32.4,689.97
25.22,470.91
19.33,372.05
18.91,390.71
21.26,452.76
28.73,519.88
32.86,685.64
31.5,633.06
22.0,495.51
38.87,815.57
33.45,671.84
28.86,623.02
30.29,530.39
25.49,491.09
21.19,375.23
23.9,450.22
33.95,650.54
15.36,244.06
17.9,405.68
16.15,360.55
16.02,290.02
36.39,611.97
32.59,626.57
26.85,534.66
17.45,416.76
27.29,517.61
26.84,585.65
19.33,361.36
25.85,545.36
24.96,539.63
30.4,636.85
30.88,569.69
16.13,304.47
24.37,516.67
30.65,533.93
27.58,591.05
36.41,667.61
31.47,561.76
19.07,354.83
16.76,301.03
31.06,630.3
15.66,326.62
29.64,596.4
38.51,720.96
29.39,648.18
24.7,497.31
31.08,668.17
26.46,414.45
28.64,599.56
38.54,742.08
24.65,531.01
39.03,869.9
37.63,694.27
19.89,440.81
16.73,304.74
17.52,256.82
15.46,355.46
17.36,438.19
32.08,747.06
16.78,350.62
22.97,387.27
36.12,712.07
15.58,306.17
35.36,762.05
22.05,439.7
17.95,255.3
32.42,679.89
30.72,618.07
36.94,783.93
33.38,679.96
35.09,736.19
22.05,441.75
19.44,402.9
33.77,629.23
35.17,721.13
39.76,786.0
