Temperature,Humidity(%),WindSpeed,Rainfall(mm),AirPressure
28.48,69,12.3,1.6,1023.15
24.03,85,9.63,24.78,1009.19
29.53,83,7.7,0.46,1005.04
35.66,56,14.61,4.39,1017.0
23.36,41,17.66,0.41,1015.36
23.36,93,17.99,36.17,1040.69
36.05,99,13.38,0.06,1013.31
30.37,69,13.23,2.75,999.83
21.71,33,12.26,8.13,1010.12
28.8,70,6.27,0.84,1013.27
21.76,78,6.98,0.43,1022.84
21.74,30,4.81,2.97,1003.36
26.69,26,9.36,6.53,1018.55
11.61,59,8.36,0.26,990.7
12.93,62,12.22,1.44,1008.12
21.06,80,9.17,15.61,996.91
17.91,53,10.73,1.02,1015.02
27.2,24,9.6,3.97,992.48
18.64,43,8.25,10.13,1024.2
15.11,54,4.42,0.35,1015.02
35.26,60,1.2,2.27,1017.55
23.42,87,15.65,2.38,1002.8
25.47,22,17.28,4.45,1015.66
15.03,80,13.58,0.42,1025.4
21.19,23,6.72,1.03,1014.31
25.78,89,11.97,1.77,1025.69
16.94,69,1.15,3.91,1002.72
27.63,95,21.05,0.41,1003.03
20.8,84,4.82,2.05,1016.23
22.96,87,7.34,3.28,1023.13
20.79,87,0.0,20.61,1033.55
37.97,75,5.2,9.42,999.61
24.91,55,9.34,4.4,1013.81
17.6,86,13.79,2.02,1009.01
30.76,73,8.16,17.27,1001.62
16.45,48,11.54,0.97,1020.52
26.46,93,11.94,0.4,1025.2
11.28,82,7.88,13.95,1003.66
15.7,95,18.11,1.54,1014.64
26.38,96,13.74,2.34,1001.84
30.17,81,13.74,4.38,1012.05
26.2,52,7.04,4.99,1026.06
24.19,85,19.33,0.01,1015.25
22.89,49,12.78,1.61,1014.41
14.65,54,11.71,8.21,1021.58
19.96,49,4.64,8.94,1002.14
21.78,39,7.71,1.64,1026.07
32.4,70,12.36,11.32,998.72
27.41,65,13.18,1.76,1010.33
12.66,73,18.19,2.04,1015.58
27.27,36,6.17,0.12,997.68
22.3,71,13.61,0.54,1020.54
20.26,25,12.35,10.06,1008.72
29.28,27,12.53,1.69,1022.88
32.22,67,11.39,1.84,1000.54
31.52,21,17.61,0.91,1010.24
19.13,28,16.83,4.22,1000.17
22.84,33,13.95,3.04,1016.12
27.32,40,15.56,2.73,1013.63
31.83,95,8.6,1.72,1009.33
21.65,58,17.13,0.24,1024.32
23.7,73,10.93,0.65,1007.52
17.26,74,18.13,2.77,1006.67
16.63,84,4.91,3.3,1004.22
30.69,42,12.56,9.39,1006.36
34.49,62,5.25,9.42,1001.14
24.5,78,7.87,3.1,1024.68
32.02,69,15.7,2.63,1015.98
27.53,86,12.93,0.59,1003.66
20.48,69,5.08,7.02,1014.37
27.53,81,12.84,0.33,1005.85
35.77,97,8.22,7.65,1023.86
24.75,92,10.54,4.19,1007.06
35.95,73,6.77,17.71,1025.16
6.66,62,7.9,1.03,1024.31
30.75,46,0.18,0.24,1016.8
25.61,66,0.0,3.68,1032.48
22.91,99,11.96,1.31,1004.82
25.64,44,14.56,4.25,1008.42
11.09,47,21.69,2.98,1020.53
23.46,83,15.03,1.62,1018.05
27.5,44,7.5,2.72,1012.19
35.35,50,3.39,0.03,1032.87
21.37,94,11.84,1.84,1010.49
19.34,65,9.93,6.72,1005.71
21.49,53,10.78,3.49,1015.89
31.41,31,13.55,7.07,1015.89
27.3,46,3.34,4.79,1022.4
21.29,73,11.56,2.22,1032.22
28.59,64,12.23,3.26,1007.78
25.68,39,6.3,3.32,1031.06
31.78,92,6.89,15.12,1009.17
20.09,91,11.91,1.97,1032.21
22.71,68,15.81,1.87,1014.21
22.26,32,16.26,4.23,1013.99
14.76,60,13.26,0.76,1023.04
27.07,84,14.9,2.32,1003.28
26.83,76,3.68,5.9,1015.55
25.04,84,8.24,0.27,1014.94
23.36,61,15.27,7.52,999.15
15.09,74,22.62,1.2,1021.36
22.06,53,9.93,4.27,1006.57
22.6,50,19.01,2.57,1005.29
19.38,23,18.04,4.19,991.15
23.87,82,11.44,0.34,1033.2
27.83,98,4.21,0.26,1012.44
38.2,80,15.74,0.01,1017.83
26.22,34,17.49,7.63,1016.32
26.8,75,13.12,3.74,1019.12
24.48,75,21.93,7.72,1018.12
11.57,23,7.09,6.32,1011.8
24.81,77,11.84,8.67,998.53
25.42,33,14.8,2.36,999.56
42.24,44,17.73,0.04,1020.79
23.65,27,19.03,16.82,1015.79
27.11,45,6.09,9.8,1011.43
24.76,65,9.48,13.17,1007.52
