video_length_min,views_count
23.1,18449
57.09,586
44.19,0
36.32,1370
10.21,48004
10.2,44637
4.43,31562
52.1,0
36.47,472
42.78,0
2.21,24698
58.22,2709
50.11,0
13.53,45012
11.73,49370
11.82,52246
18.95,34594
31.96,1371
26.48,7556
18.18,38539
37.1,3439
9.23,43352
18.24,37486
22.62,25822
27.91,5712
47.33,0
12.78,49693
31.34,1874
35.95,2760
3.74,32947
36.85,0
11.06,47788
4.84,35984
56.98,1201
57.97,873
48.7,1394
18.97,34393
6.76,41318
41.37,0
26.97,8228
8.2,44476
30.22,2928
3.03,27600
54.65,595
16.27,39635
40.09,0
19.39,32672
31.68,5483
33.26,892
11.91,50189
58.21,0
46.73,2648
56.43,0
53.79,0
36.28,0
55.39,28
6.22,35530
12.56,52807
3.67,29901
20.19,30760
23.93,20645
17.01,40410
49.9,1713
22.05,23883
17.58,42299
33.02,2967
9.31,46242
48.33,850
5.4,34278
59.23,0
46.56,0
12.72,49424
1.33,18742
49.11,0
42.7,625
44.01,752
46.5,732
5.37,39274
22.15,19287
7.84,46773
51.92,4984
37.77,3806
20.52,27648
4.75,34067
19.35,31250
20.19,28270
44.05,3463
38.62,1596
53.35,1520
28.86,3179
8.06,41332
43.08,2136
45.89,850
34.12,499
46.49,3477
30.13,5017
31.84,608
26.22,6414
2.5,25899
7.37,41338
2.85,25734
38.55,0
19.55,34904
31.01,4660
54.55,0
15.71,44661
25.21,13360
45.58,2644
14.5,47785
5.54,34947
18.1,34994
10.51,48971
55.85,0
48.68,684
38.37,1125
52.42,2382
48.42,0
12.01,52065
53.66,3223
32.82,1838
48.64,4472
53.87,2874
19.76,30269
7.49,48552
14.45,47577
26.2,13148
49.26,1258
51.78,607
1.41,23437
31.13,3164
25.63,11566
14.1,48207
8.07,42035
20.92,28990
56.63,0
20.07,30485
31.61,2520
42.48,1250
22.45,21263
58.34,0
57.78,829
15.86,45177
30.34,1491
18.75,34798
17.81,40965
3.18,32129
36.96,0
30.66,4950
4.04,30679
17.44,38495
54.59,0
15.13,44427
9.55,44983
29.88,4887
59.15,3567
15.28,46672
40.66,425
45.94,0
15.02,44699
43.96,61
22.7,18386
38.31,2471
38.38,0
32.61,123
6.33,43386
50.28,2598
19.93,28217
12.0,48236
3.41,27688
35.86,263
40.98,0
1.98,25489
31.21,3216
14.36,47791
39.07,0
11.29,47699
41.77,0
23.82,15042
56.27,0
9.11,49006
21.12,27957
7.69,42511
55.56,2635
52.76,1181
16.22,41349
39.94,0
49.22,613
33.76,2191
32.25,0
15.27,44943
6.49,41159
53.94,3142
54.12,169
38.35,333
21.0,25642
21.6,27300
43.83,1130
53.93,0
53.34,1564
47.01,0
38.88,0
5.96,36721
10.54,47449
54.01,0
36.78,0
1.54,19881
6.99,40020
40.15,0
1.3,21517
10.49,45582
33.38,646
41.82,1370
39.47,2402
14.23,46942
43.02,2054
15.0,45875
20.2,34084
45.04,0
39.33,0
51.1,322
39.8,0
34.53,0
6.53,40473
22.7,20840
16.65,42168
15.4,45644
58.41,0
24.19,15949
53.63,0
38.24,0
47.89,0
30.66,4643
35.04,1895
30.06,1583
12.52,50254
43.62,3313
17.57,39533
2.43,20436
39.08,0
11.45,50136
56.49,4232
57.28,0
54.98,0
22.84,17833
1.91,24336
55.77,0
26.26,4740
58.03,0
57.85,0
51.33,776
18.37,36771
23.72,18409
51.22,0
19.7,31639
11.0,49635
33.85,369
56.23,1136
42.07,1736
34.63,826
6.73,39275
37.29,0
59.41,710
9.26,45155
31.58,2819
52.77,262
44.71,2146
42.12,2816
42.45,0
22.21,21742
18.32,32388
48.75,2324
48.8,0
52.16,2303
54.88,516
31.17,132
30.59,1426
48.1,0
39.35,1284
42.42,150
47.95,357
53.51,0
20.94,29033
23.16,19191
6.54,39725
35.12,1359
3.12,26176
28.47,5305
33.02,2549
17.91,39626
35.86,2347
2.8,25418
3.2,27564
49.53,0
22.25,23573
8.5,43539
31.81,2773
46.43,1763
13.73,49091
37.75,881
6.04,37322
4.05,26805
32.35,620
32.9,1738
38.61,0
43.84,989
58.58,0
31.46,0
20.05,31510
47.92,0
16.98,41889
26.9,7784
5.63,37542
2.5,27403
57.8,2857
50.32,0
42.06,0
25.13,13348
11.22,53507
10.23,46485
15.76,42469
33.4,3133
43.16,0
39.95,1430
17.52,38251
57.34,705
44.54,0
33.71,0
37.09,658
25.76,8975
15.62,46057
22.0,22415
45.71,0
1.85,22955
7.85,44258
3.71,24539
3.4,27966
51.47,20
42.52,220
28.98,1624
6.77,41094
30.01,4998
28.93,3444
11.22,46964
26.6,7504
24.51,14975
37.34,0
38.47,0
3.67,33286
23.1,19078
37.93,0
30.69,1928
51.53,0
39.86,3720
10.61,50887
5.16,39479
38.9,959
2.56,23027
35.56,1196
56.47,1097
34.95,2043
23.9,15648
38.95,3779
28.04,4165
33.19,2176
56.55,0
23.78,15356
57.71,494
54.42,2513
12.55,50689
5.09,34987
6.95,36915
2.08,25003
6.57,38908
41.3,1130
5.2,36681
19.82,31396
50.85,0
2.37,27072
49.05,3612
17.63,40661
7.97,42594
42.11,2502
38.11,0
52.77,0
44.37,2409
48.41,1297
17.64,34292
11.47,50306
45.29,2379
48.6,0
59.44,1955
25.34,9099
22.95,19169
46.81,1087
21.11,25648
55.91,2355
51.65,0
26.31,11726
45.3,114
45.52,0
7.08,42276
54.25,0
30.81,6111
49.76,1168
19.88,31596
53.84,0
23.96,16639
1.64,20465
54.42,0
6.39,41578
19.84,30363
57.05,0
57.09,989
34.83,2425
38.28,3405
27.46,9459
18.3,36128
20.39,29366
40.68,860
45.39,877
47.7,0
47.59,0
6.38,40025
30.17,5989
4.4,30558
33.42,557
27.05,8043
53.37,0
21.7,25668
7.91,42389
9.44,49227
45.93,2844
37.47,0
6.97,40160
5.96,37923
42.36,0
5.29,35008
49.49,0
42.67,1744
5.8,40354
6.01,36415
59.21,0
23.08,20997
22.87,19034
48.96,0
56.89,0
59.17,0
45.45,972
23.2,16239
5.93,35113
46.85,0
33.95,1489
26.03,7117
54.47,4177
7.56,42114
30.06,0
1.67,19601
28.65,6929
4.32,34243
